regime,rel_spread,total_depth_10,vol_score,liquidity_drought_score,adverse_selection_score,liquidity_score,stress_score,directional_toxicity_score
BALANCED_TRANSITION,2.2590677e-07,12.27603,-0.7378614,-0.5070582,-0.6398713,0.5070582,-1.3619082,-0.06743199
CALM_ILLIQUID,2.762775e-07,8.116741,-1.1616341,0.75057274,-0.62263775,-0.75057274,-0.49728537,-0.094613075
CALM_LIQUID,1.7645505e-07,14.391639,-1.0629522,-0.8774502,-0.632863,0.8774502,-2.0792527,-0.039663255
CHOPPY_MEAN_REVERTING,2.1906595e-07,8.877579,-0.18293826,0.0026557446,-0.68546283,-0.0026557446,-0.21174276,-0.3773876
LIQUIDITY_DROUGHT,2.7044018e-07,7.26766,0.21194555,2.413743,-0.14850289,-2.413743,2.8280258,0.4619066
MILD_LIQUIDITY_STRESS,2.2692825e-07,10.242811,-0.60835564,0.8181497,-0.5031371,-0.8181497,0.3117462,0.0
MOMENTUM_TOXIC,2.2562227e-07,11.582735,1.2155422,0.004374478,1.8944881,-0.004374478,1.0655763,3.939067
SHOCK_RECOVERY,1.9132773e-07,11.857028,1.3402967,-0.2588067,-0.1413281,0.2588067,1.0892068,0.5882058
UNKNOWN,2.2677352e-07,11.081348,0.16505381,0.19816962,0.19785765,-0.19816962,0.19108668,1.2180808
VOLATILE_ILLIQUID,2.773668e-07,7.838925,1.4037597,0.7170042,-0.23137522,-0.7170042,2.1919138,0.3974998
VOLATILE_LIQUID,2.1462903e-07,14.060715,1.2919011,0.41118285,-0.12672028,-0.41118285,1.7044195,0.3587895
